[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Tesla T4
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.4
   2000				0.7
   3000				1.1
   4000				1.5
   5000				1.7
   6000				2.1
   7000				2.3
   8000				2.5
   9000				2.7
   10000			2.9
   11000			3.1
   12000			3.3
   13000			3.6
   14000			3.8
   15000			3.9
   16000			3.9
   17000			4.2
   18000			4.4
   19000			4.4
   20000			4.6
   22000			4.7
   24000			5.0
   26000			5.2
   28000			5.4
   30000			5.6
   32000			5.8
   34000			6.0
   36000			6.2
   38000			6.2
   40000			6.5
   42000			6.7
   44000			6.8
   46000			6.8
   48000			7.0
   50000			7.3
   60000			7.6
   70000			8.0
   80000			8.4
   90000			8.7
   100000			9.1
   200000			10.3
   300000			11.0
   400000			10.6
   500000			11.5
   600000			10.3
   700000			11.1
   800000			10.4
   900000			11.3
   1000000			10.5
   2000000			11.3
   3000000			10.7
   4000000			10.9
   5000000			11.3
   6000000			11.4
   7000000			11.5
   8000000			11.5
   9000000			11.6
   10000000			11.6
   11000000			11.7
   12000000			11.7
   13000000			11.7
   14000000			11.7
   15000000			11.7
   16000000			11.7
   18000000			11.7
   20000000			11.7
   22000000			11.8
   24000000			11.8
   26000000			11.8
   28000000			11.8
   30000000			11.8
   32000000			11.9
   36000000			11.9
   40000000			11.9
   44000000			11.9
   48000000			12.0
   52000000			12.0
   56000000			12.0
   60000000			12.0
   64000000			12.0
   68000000			12.0

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.6
   2000				1.2
   3000				1.4
   4000				2.3
   5000				2.9
   6000				3.2
   7000				3.7
   8000				4.3
   9000				4.4
   10000			5.0
   11000			5.3
   12000			5.5
   13000			5.5
   14000			6.0
   15000			6.2
   16000			6.5
   17000			6.3
   18000			6.6
   19000			6.9
   20000			7.2
   22000			7.5
   24000			7.8
   26000			8.1
   28000			8.3
   30000			8.5
   32000			8.7
   34000			8.6
   36000			8.8
   38000			9.2
   40000			9.4
   42000			9.3
   44000			9.4
   46000			9.7
   48000			9.7
   50000			9.9
   60000			10.2
   70000			10.3
   80000			10.9
   90000			11.0
   100000			11.3
   200000			10.8
   300000			8.6
   400000			11.0
   500000			10.2
   600000			12.4
   700000			11.7
   800000			11.0
   900000			12.0
   1000000			10.2
   2000000			12.7
   3000000			12.8
   4000000			12.8
   5000000			12.8
   6000000			12.8
   7000000			12.8
   8000000			12.8
   9000000			12.8
   10000000			12.8
   11000000			12.9
   12000000			12.9
   13000000			12.9
   14000000			12.9
   15000000			12.9
   16000000			12.9
   18000000			12.9
   20000000			13.0
   22000000			13.0
   24000000			13.0
   26000000			13.0
   28000000			13.0
   30000000			13.0
   32000000			13.0
   36000000			13.0
   40000000			13.0
   44000000			13.1
   48000000			13.1
   52000000			13.1
   56000000			13.1
   60000000			13.1
   64000000			13.1
   68000000			13.1

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.5
   2000				1.1
   3000				1.6
   4000				2.3
   5000				1.8
   6000				3.6
   7000				4.0
   8000				4.4
   9000				5.3
   10000			5.5
   11000			6.6
   12000			6.5
   13000			6.8
   14000			7.3
   15000			7.1
   16000			9.5
   17000			9.8
   18000			10.0
   19000			10.7
   20000			11.3
   22000			12.1
   24000			12.7
   26000			15.4
   28000			13.9
   30000			17.2
   32000			18.5
   34000			19.8
   36000			20.9
   38000			21.3
   40000			20.2
   42000			23.0
   44000			25.1
   46000			26.4
   48000			28.5
   50000			29.3
   60000			35.5
   70000			44.0
   80000			48.1
   90000			52.0
   100000			59.8
   200000			121.5
   300000			172.0
   400000			239.8
   500000			331.8
   600000			407.2
   700000			435.1
   800000			471.2
   900000			489.1
   1000000			511.1
   2000000			573.6
   3000000			207.0
   4000000			214.6
   5000000			220.6
   6000000			223.2
   7000000			226.4
   8000000			228.3
   9000000			229.6
   10000000			231.0
   11000000			232.0
   12000000			232.7
   13000000			234.0
   14000000			234.7
   15000000			235.3
   16000000			235.7
   18000000			236.2
   20000000			237.1
   22000000			237.8
   24000000			238.0
   26000000			238.1
   28000000			238.6
   30000000			239.2
   32000000			239.5
   36000000			239.8
   40000000			240.1
   44000000			240.5
   48000000			240.7
   52000000			241.0
   56000000			242.1
   60000000			242.8
   64000000			244.4
   68000000			243.7

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
